river;agency;station_code;station_name;date;discharge;flag
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1973-01-20 00:00:00;3960;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1973-01-21 00:00:00;3960;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1973-01-22 00:00:00;3960;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1973-01-23 00:00:00;3960;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1973-01-24 00:00:00;3960;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1973-01-25 00:00:00;3960;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1973-01-26 00:00:00;3960;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1973-01-27 00:00:00;3960;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1973-01-28 00:00:00;3960;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1973-01-29 00:00:00;3960;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1973-01-30 00:00:00;3960;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1973-01-31 00:00:00;3960;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1973-02-01 00:00:00;3960;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1973-02-02 00:00:00;3960;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1973-02-03 00:00:00;3960;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1973-02-04 00:00:00;3960;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1973-02-05 00:00:00;3960;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1973-02-06 00:00:00;3960;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1973-02-07 00:00:00;3960;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1973-02-08 00:00:00;3960;A
